time,action,count,
2017-9-28 2:57:46, Cancel, 28,
2017-9-28 2:57:41, Cancel, 32,
2017-9-28 2:57:36, Cancel, 39,
2017-9-28 2:57:31, Cancel, 30,
2017-9-28 2:57:26, Cancel, 28,
2017-9-28 2:57:21, Cancel, 31,
2017-9-28 2:57:16, Cancel, 40,
2017-9-28 2:57:11, Cancel, 26,
2017-9-28 2:57:1, Cancel, 31,
2017-9-28 2:56:6, Cancel, 29,
2017-9-28 2:56:56, Cancel, 25,
2017-9-28 2:56:51, Cancel, 31,
2017-9-28 2:56:46, Cancel, 29,
2017-9-28 2:56:41, Cancel, 21,
2017-9-28 2:56:36, Cancel, 24,
2017-9-28 2:56:31, Cancel, 33,
2017-9-28 2:56:26, Cancel, 32,
2017-9-28 2:56:21, Cancel, 28,
2017-9-28 2:56:16, Cancel, 26,
2017-9-28 2:56:11, Cancel, 30,
2017-9-28 2:56:1, Cancel, 27,
2017-9-28 2:55:6, Cancel, 28,
2017-9-28 2:55:56, Cancel, 32,
2017-9-28 2:55:51, Cancel, 33,
2017-9-28 2:55:46, Cancel, 25,
2017-9-28 2:55:41, Cancel, 34,
2017-9-28 2:55:36, Cancel, 38,
2017-9-28 2:55:31, Cancel, 30,
2017-9-28 2:55:26, Cancel, 31,
2017-9-28 2:55:21, Cancel, 40,
2017-9-28 2:55:16, Cancel, 42,
2017-9-28 2:55:11, Cancel, 31,
2017-9-28 2:55:1, Cancel, 38,
2017-9-28 2:54:6, Cancel, 36,
2017-9-28 2:54:56, Cancel, 31,
2017-9-28 2:54:51, Cancel, 34,
2017-9-28 2:54:46, Cancel, 25,
2017-9-28 2:54:41, Cancel, 28,
2017-9-28 2:54:36, Cancel, 30,
2017-9-28 2:54:31, Cancel, 30,
2017-9-28 2:54:26, Cancel, 23,
2017-9-28 2:54:21, Cancel, 23,
2017-9-28 2:54:16, Cancel, 30,
2017-9-28 2:54:11, Cancel, 31,
2017-9-28 2:54:1, Cancel, 31,
2017-9-28 2:53:6, Cancel, 20,
2017-9-28 2:53:56, Cancel, 33,
2017-9-28 2:53:51, Cancel, 38,
2017-9-28 2:53:46, Cancel, 45,
2017-9-28 2:53:41, Cancel, 24,
2017-9-28 2:53:36, Cancel, 27,
2017-9-28 2:53:31, Cancel, 31,
2017-9-28 2:53:26, Cancel, 28,
2017-9-28 2:53:21, Cancel, 31,
2017-9-28 2:53:16, Cancel, 31,
2017-9-28 2:53:11, Cancel, 28,
2017-9-28 2:53:1, Cancel, 32,
2017-9-28 2:52:6, Cancel, 31,
2017-9-28 2:52:56, Cancel, 33,
2017-9-28 2:52:51, Cancel, 28,
2017-9-28 2:52:46, Cancel, 28,
2017-9-28 2:52:41, Cancel, 35,
2017-9-28 2:52:36, Cancel, 37,
2017-9-28 2:52:31, Cancel, 30,
2017-9-28 2:52:26, Cancel, 44,
2017-9-28 2:52:21, Cancel, 39,
2017-9-28 2:52:16, Cancel, 33,
2017-9-28 2:52:11, Cancel, 34,
2017-9-28 2:52:1, Cancel, 22,
2017-9-28 2:51:6, Cancel, 23,
2017-9-28 2:51:56, Cancel, 26,
2017-9-28 2:51:51, Cancel, 27,
2017-9-28 2:51:46, Cancel, 27,
2017-9-28 2:51:41, Cancel, 27,
2017-9-28 2:51:36, Cancel, 41,
2017-9-28 2:51:31, Cancel, 25,
2017-9-28 2:51:26, Cancel, 27,
2017-9-28 2:51:21, Cancel, 25,
2017-9-28 2:51:16, Cancel, 40,
2017-9-28 2:51:11, Cancel, 38,
2017-9-28 2:51:1, Cancel, 29,
2017-9-28 2:50:6, Cancel, 31,
2017-9-28 2:50:56, Cancel, 36,
2017-9-28 2:50:51, Cancel, 42,
2017-9-28 2:50:46, Cancel, 24,
2017-9-28 2:50:41, Cancel, 43,
2017-9-28 2:50:36, Cancel, 32,
2017-9-28 2:50:31, Cancel, 28,
2017-9-28 2:50:26, Cancel, 23,
2017-9-28 2:50:21, Cancel, 33,
2017-9-28 2:50:16, Cancel, 18,
2017-9-28 2:50:11, Cancel, 29,
2017-9-28 2:50:1, Cancel, 33,
2017-9-28 2:49:6, Cancel, 35,
2017-9-28 2:49:56, Cancel, 27,
2017-9-28 2:49:51, Cancel, 29,
2017-9-28 2:49:46, Cancel, 25,
2017-9-28 2:49:41, Cancel, 35,
2017-9-28 2:49:36, Cancel, 29,
2017-9-28 2:49:31, Cancel, 27,
2017-9-28 2:49:26, Cancel, 36,
2017-9-28 2:49:21, Cancel, 31,
2017-9-28 2:49:16, Cancel, 20,
2017-9-28 2:49:11, Cancel, 43,
2017-9-28 2:49:1, Cancel, 25,
2017-9-28 2:48:6, Cancel, 30,
2017-9-28 2:48:56, Cancel, 46,
2017-9-28 2:48:51, Cancel, 37,
2017-9-28 2:48:46, Cancel, 28,
2017-9-28 2:48:41, Cancel, 29,
2017-9-28 2:48:36, Cancel, 38,
2017-9-28 2:48:31, Cancel, 32,
2017-9-28 2:48:26, Cancel, 34,
2017-9-28 2:48:21, Cancel, 24,
2017-9-28 2:48:16, Cancel, 28,
2017-9-28 2:48:11, Cancel, 31,
2017-9-28 2:48:1, Cancel, 21,
2017-9-28 2:47:6, Cancel, 24,
2017-9-28 2:47:56, Cancel, 26,
2017-9-28 2:47:51, Cancel, 29,
2017-9-28 2:47:46, Cancel, 33,
2017-9-28 2:47:41, Cancel, 32,
2017-9-28 2:47:36, Cancel, 37,
2017-9-28 2:47:31, Cancel, 29,
2017-9-28 2:47:26, Cancel, 50,
2017-9-28 2:47:21, Cancel, 33,
2017-9-28 2:47:16, Cancel, 30,
2017-9-28 2:47:11, Cancel, 28,
2017-9-28 2:47:1, Cancel, 31,
2017-9-28 2:46:6, Cancel, 40,
2017-9-28 2:46:56, Cancel, 31,
2017-9-28 2:46:51, Cancel, 33,
2017-9-28 2:46:46, Cancel, 23,
2017-9-28 2:46:41, Cancel, 27,
2017-9-28 2:46:36, Cancel, 38,
2017-9-28 2:46:31, Cancel, 27,
2017-9-28 2:46:26, Cancel, 24,
2017-9-28 2:46:21, Cancel, 35,
2017-9-28 2:46:16, Cancel, 45,
2017-9-28 2:46:11, Cancel, 28,
2017-9-28 2:46:1, Cancel, 34,
2017-9-28 2:45:6, Cancel, 24,
2017-9-28 2:45:56, Cancel, 37,
2017-9-28 2:45:51, Cancel, 36,
2017-9-28 2:45:46, Cancel, 33,
2017-9-28 2:45:41, Cancel, 26,
2017-9-28 2:45:36, Cancel, 23,
2017-9-28 2:45:31, Cancel, 27,
2017-9-28 2:45:26, Cancel, 28,
2017-9-28 2:45:21, Cancel, 26,
2017-9-28 2:45:16, Cancel, 41,
2017-9-28 2:45:11, Cancel, 29,
2017-9-28 2:45:1, Cancel, 26,
2017-9-28 2:44:6, Cancel, 32,
2017-9-28 2:44:56, Cancel, 38,
2017-9-28 2:44:51, Cancel, 38,
2017-9-28 2:44:46, Cancel, 31,
2017-9-28 2:44:41, Cancel, 21,
2017-9-28 2:44:36, Cancel, 34,
2017-9-28 2:44:31, Cancel, 45,
2017-9-28 2:44:26, Cancel, 21,
2017-9-28 2:44:21, Cancel, 49,
2017-9-28 2:44:16, Cancel, 30,
2017-9-28 2:44:11, Cancel, 25,
2017-9-28 2:44:1, Cancel, 26,
2017-9-28 2:43:6, Cancel, 35,
2017-9-28 2:43:56, Cancel, 20,
2017-9-28 2:43:51, Cancel, 29,
2017-9-28 2:43:46, Cancel, 32,
2017-9-28 2:43:41, Cancel, 29,
2017-9-28 2:43:36, Cancel, 34,
2017-9-28 2:43:31, Cancel, 23,
2017-9-28 2:43:26, Cancel, 28,
2017-9-28 2:43:21, Cancel, 32,
2017-9-28 2:43:16, Cancel, 29,
2017-9-28 2:43:11, Cancel, 29,
2017-9-28 2:43:1, Cancel, 28,
2017-9-28 2:42:6, Cancel, 35,
2017-9-28 2:42:56, Cancel, 24,
2017-9-28 2:42:51, Cancel, 45,
2017-9-28 2:42:46, Cancel, 28,
2017-9-28 2:42:41, Cancel, 27,
2017-9-28 2:42:36, Cancel, 44,
2017-9-28 2:42:31, Cancel, 42,
2017-9-28 2:42:26, Cancel, 27,
2017-9-28 2:42:21, Cancel, 29,
2017-9-28 2:42:16, Cancel, 39,
2017-9-28 2:42:11, Cancel, 29,
2017-9-28 2:42:1, Cancel, 23,
2017-9-28 2:41:6, Cancel, 36,
2017-9-28 2:41:56, Cancel, 31,
2017-9-28 2:41:51, Cancel, 28,
2017-9-28 2:41:46, Cancel, 29,
2017-9-28 2:41:41, Cancel, 23,
2017-9-28 2:41:36, Cancel, 23,
2017-9-28 2:41:31, Cancel, 30,
2017-9-28 2:41:26, Cancel, 31,
2017-9-28 2:41:21, Cancel, 35,
2017-9-28 2:41:16, Cancel, 29,
2017-9-28 2:41:11, Cancel, 36,
2017-9-28 2:41:1, Cancel, 47,
2017-9-28 2:40:6, Cancel, 27,
2017-9-28 2:40:56, Cancel, 24,
2017-9-28 2:40:51, Cancel, 27,
2017-9-28 2:40:46, Cancel, 31,
2017-9-28 2:40:41, Cancel, 27,
2017-9-28 2:40:36, Cancel, 34,
2017-9-28 2:40:31, Cancel, 33,
2017-9-28 2:40:26, Cancel, 27,
2017-9-28 2:40:21, Cancel, 18,
2017-9-28 2:40:16, Cancel, 39,
2017-9-28 2:40:11, Cancel, 30,
2017-9-28 2:40:1, Cancel, 30,
2017-9-28 2:39:6, Cancel, 30,
2017-9-28 2:39:56, Cancel, 40,
2017-9-28 2:39:51, Cancel, 33,
2017-9-28 2:39:46, Cancel, 39,
2017-9-28 2:39:41, Cancel, 42,
2017-9-28 2:39:36, Cancel, 33,
2017-9-28 2:39:31, Cancel, 33,
2017-9-28 2:39:26, Cancel, 36,
2017-9-28 2:39:21, Cancel, 33,
2017-9-28 2:39:16, Cancel, 19,
2017-9-28 2:39:11, Cancel, 20,
2017-9-28 2:39:1, Cancel, 29,
2017-9-28 2:38:6, Cancel, 35,
2017-9-28 2:38:56, Cancel, 33,
2017-9-28 2:38:51, Cancel, 33,
2017-9-28 2:38:46, Cancel, 26,
2017-9-28 2:38:41, Cancel, 29,
2017-9-28 2:38:36, Cancel, 27,
2017-9-28 2:38:31, Cancel, 42,
2017-9-28 2:38:26, Cancel, 31,
2017-9-28 2:38:21, Cancel, 25,
2017-9-28 2:38:16, Cancel, 28,
2017-9-28 2:38:11, Cancel, 38,
2017-9-28 2:38:1, Cancel, 38,
2017-9-28 2:37:6, Cancel, 29,
2017-9-28 2:37:56, Cancel, 34,
2017-9-28 2:37:51, Cancel, 32,
2017-9-28 2:37:46, Cancel, 24,
